source,source_id,school_name,normalised_school_name,school_code,suburb,country,state,postcode,type,sector,latitude,longitude,is_sehs,selectivity_type,entry_year_levels,test_provider,test_name,offers_medicine,offers_dentistry
ACARA,44304,Brighton Primary School,"Brighton Primary School (Brighton, VIC)",,Brighton,Australia,VIC,3186,Primary,Public,-37.9118,145.002,FALSE,,,,,FALSE,FALSE
ACARA,52147,Brighton Primary School-Brighton Primary School Deaf Facility,Brighton Primary School-Brighton Primary School Deaf Facility,,Brighton,Australia,VIC,3186,Primary,Public,-37.9122,145.001,FALSE,,,,,FALSE,FALSE
ACARA,40220,Brighton Primary School,"Brighton Primary School (Brighton, TAS)",,Brighton,Australia,TAS,7030,Primary,Public,-42.6991,147.258,FALSE,,,,,FALSE,FALSE
ACARA,45362,Brighton Secondary College,Brighton Secondary College,,Brighton East,Australia,VIC,3187,Secondary,Public,-37.9202,145.019,FALSE,,,,,FALSE,FALSE
ACARA,49484,Brighton Secondary School,Brighton Secondary School,,North Brighton,Australia,SA,5048,Secondary,Public,-35.0036,138.52,FALSE,,,,,FALSE,FALSE
ACARA,47218,Brighton State School,Brighton State School,,Brighton,Australia,QLD,4017,Primary,Public,-27.2942,153.051,FALSE,,,,,FALSE,FALSE
ACARA,40999,Brighton-Le-Sands Public School,Brighton-Le-Sands Public School,,Brighton-Le-Sands,Australia,NSW,2216,Primary,Public,-33.9624,151.149,FALSE,,,,,FALSE,FALSE
ACARA,50484,Brightwater State School,Brightwater State School,,Mountain Creek,Australia,QLD,4557,Primary,Public,-26.7094,153.112,FALSE,,,,,FALSE,FALSE
ACARA,43893,Brightwaters Christian College,Brightwaters Christian College,,Brightwaters,Australia,NSW,2264,Combined,Private,-33.1132,151.543,FALSE,,,,,FALSE,FALSE
ACARA,47867,Brigidine College,Brigidine College,,Indooroopilly,Australia,QLD,4068,Combined,Private,-27.5008,152.981,FALSE,,,,,FALSE,FALSE
ACARA,43481,Brigidine College Randwick,Brigidine College Randwick,,Randwick,Australia,NSW,2031,Secondary,Private,-33.9192,151.244,FALSE,,,,,FALSE,FALSE
ACARA,43682,Brigidine College St Ives,Brigidine College St Ives,,St Ives,Australia,NSW,2075,Secondary,Private,-33.7216,151.173,FALSE,,,,,FALSE,FALSE
ACARA,53311,Brinbeal Secondary College,Brinbeal Secondary College,,Tarneit,Australia,VIC,3029,Secondary,Public,-37.85469634,144.6418754,FALSE,,,,,FALSE,FALSE
ACARA,49984,Brindabella Christian College,Brindabella Christian College,,Lyneham,Australia,ACT,2602,Combined,Private,-35.249,149.128,FALSE,,,,,FALSE,FALSE
ACARA,41368,Bringelly Public School,Bringelly Public School,,Bringelly,Australia,NSW,2556,Primary,Public,-33.9379,150.73,FALSE,,,,,FALSE,FALSE
ACARA,49437,Brinkworth Primary and Early Childhood Centre,Brinkworth Primary and Early Childhood Centre,,Brinkworth,Australia,SA,5464,Primary,Public,-33.6883,138.404,FALSE,,,,,FALSE,FALSE
ACARA,47957,Brisbane Adventist College,Brisbane Adventist College,,Mansfield,Australia,QLD,4122,Combined,Private,-27.5446,153.098,FALSE,,,,,FALSE,FALSE
ACARA,47489,Brisbane Bayside State College,Brisbane Bayside State College,,Wynnum West,Australia,QLD,4178,Secondary,Public,-27.462,153.15,FALSE,,,,,FALSE,FALSE
ACARA,48011,Brisbane Boys' College,Brisbane Boys' College,,Toowong,Australia,QLD,4066,Combined,Private,-27.487,152.988,FALSE,,,,,FALSE,FALSE
ACARA,46557,Brisbane Central State School,Brisbane Central State School,,Spring Hill,Australia,QLD,4000,Primary,Public,-27.4593,153.027,FALSE,,,,,FALSE,FALSE
ACARA,48105,Brisbane Christian College,Brisbane Christian College,,Salisbury,Australia,QLD,4107,Combined,Private,-27.5584,153.039,FALSE,,,,,FALSE,FALSE
ACARA,52241,Brisbane Christian College - Fairlie Terrace Campus,Brisbane Christian College - Fairlie Terrace Campus,,Salisbury,Australia,QLD,4107,Combined,Private,-27.5506,153.021,FALSE,,,,,FALSE,FALSE
ACARA,48034,Brisbane Girls Grammar School,Brisbane Girls Grammar School,,Brisbane,Australia,QLD,4000,Secondary,Private,-27.4591,153.02,FALSE,,,,,FALSE,FALSE
ACARA,53391,Brisbane Girls Grammar School - Primary Campus,Brisbane Girls Grammar School - Primary Campus,,Brisbane,Australia,QLD,4000,Primary,Private,-27.45953558,153.0198652,FALSE,,,,,FALSE,FALSE
ACARA,48033,Brisbane Grammar School,Brisbane Grammar School,,Brisbane,Australia,QLD,4000,Combined,Private,-27.4599,153.017,FALSE,,,,,FALSE,FALSE
ACARA,48030,Brisbane Independent School,Brisbane Independent School,,Pullenvale,Australia,QLD,4069,Primary,Private,-27.5241,152.919,FALSE,,,,,FALSE,FALSE
ACARA,48085,Brisbane Montessori School,Brisbane Montessori School,,Fig Tree Pocket,Australia,QLD,4069,Combined,Private,-27.5313,152.963,FALSE,,,,,FALSE,FALSE
ACARA,47625,Brisbane School of Distance Education,Brisbane School of Distance Education,,Coorparoo,Australia,QLD,4151,Combined,Public,-27.4861,153.054,FALSE,,,,,FALSE,FALSE
ACARA,52849,Brisbane South State Secondary College,Brisbane South State Secondary College,,Dutton Park,Australia,QLD,4102,Secondary,Public,-27.49623,153.02711,FALSE,,,,,FALSE,FALSE
ACARA,47408,Brisbane State High School,Brisbane State High School,,South Brisbane,Australia,QLD,4101,Secondary,Public,-27.4794,153.019,FALSE,partially_selective,"7,8,9,10,11",ACER,HAST (HAST-P for Year 5 sitting),FALSE,FALSE
ACARA,42106,Brisbane Water Secondary College Umina Campus,Brisbane Water Secondary College Umina Campus,,Umina Beach,Australia,NSW,2257,Secondary,Public,-33.5074,151.308,FALSE,,,,,FALSE,FALSE
ACARA,40440,Brisbane Water Secondary College Woy Woy Campus,Brisbane Water Secondary College Woy Woy Campus,,Woy Woy,Australia,NSW,2256,Secondary,Public,-33.4927,151.324,FALSE,,,,,FALSE,FALSE
ACARA,47572,Brisbane Youth Education and Training Centre,Brisbane Youth Education and Training Centre,,Wacol,Australia,QLD,4076,Special,Public,-27.5925,152.915,FALSE,,,,,FALSE,FALSE
ACARA,53378,Wacol Youth Remand Education Support Hub,Wacol Youth Remand Education Support Hub,,Wacol,Australia,QLD,4076,Special,Public,-27.59614917,152.9147914,FALSE,,,,,FALSE,FALSE
ACARA,52924,West Moreton Education and Training Centre,West Moreton Education and Training Centre,,Wacol,Australia,QLD,4078,Special,Public,-27.591588,152.913942,FALSE,,,,,FALSE,FALSE
ACARA,53280,Youth Education Team,Youth Education Team,,Caboolture,Australia,QLD,4510,Special,Public,-27.08542209,152.9520034,FALSE,,,,,FALSE,FALSE
